job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,pw_ratio
J0001,Gear Box Cover,Drilling,86,57,155,3,28.67
J0002,EV Battery Case,Lathe,22,377,425,5,4.4
J0003,Precision Shaft,Drilling,59,16,82,1,59.0
J0004,Precision Shaft,Assembly,69,308,383,5,13.8
J0005,Thermal Pad,Lathe,88,359,661,2,44.0
J0006,Exhaust Manifold,Milling,40,414,455,2,20.0
J0007,Chassis Frame,Grinding,40,79,174,3,13.33
J0008,Drive Shaft,Milling,53,49,193,3,17.67
J0009,Chassis Frame,Welding,108,22,365,5,21.6
J0010,Control Module,Lathe,15,282,372,5,3.0
J0011,Gear Box Cover,Additive,29,360,406,1,29.0
J0012,Fuel Injector,Milling,42,40,141,1,42.0
J0013,Battery Module,Milling,63,325,601,3,21.0
J0014,EV Battery Case,Lathe,50,107,328,3,16.67
J0015,Thermal Pad,Welding,86,87,298,2,43.0
J0016,Gear Box Cover,Assembly,39,473,675,5,7.8
J0017,Brake Component,Additive,46,431,491,2,23.0
J0018,Precision Shaft,Lathe,45,205,318,1,45.0
J0019,ABS Module,Welding,117,367,645,2,58.5
J0020,Sensor Housing,Milling,118,468,915,4,29.5
J0021,EV Cooling Pipe,Assembly,22,126,291,5,4.4
J0022,Gear Box Cover,Drilling,79,219,502,3,26.33
J0023,Chassis Frame,Drilling,70,252,345,1,70.0
J0024,EV Battery Case,Welding,85,81,382,5,17.0
J0025,EV Cooling Pipe,Lathe,53,305,477,5,10.6
J0026,CV Joint,Additive,115,482,602,1,115.0
J0027,Chassis Frame,Milling,39,393,596,3,13.0
J0028,EV Cooling Pipe,Lathe,60,80,256,1,60.0
J0029,Door Hinge,Additive,102,91,452,1,102.0
J0030,Control Module,Additive,86,259,446,2,43.0
J0031,Drive Shaft,Milling,25,276,436,1,25.0
J0032,Door Hinge,Drilling,67,9,104,3,22.33
J0033,EV Battery Case,Grinding,12,123,247,5,2.4
J0034,Sensor Housing,Drilling,98,248,381,5,19.6
J0035,Turbo Housing,Additive,89,243,416,3,29.67
J0036,Precision Shaft,Assembly,82,216,406,5,16.4
J0037,Thermal Pad,Lathe,44,204,419,3,14.67
J0038,EV Battery Case,Milling,62,61,186,2,31.0
J0039,Battery Cell Tray,Drilling,7,301,378,2,3.5
J0040,Gear Box Cover,Grinding,5,36,131,1,5.0
J0041,Turbo Housing,Drilling,120,16,305,1,120.0
J0042,CV Joint,Drilling,40,342,506,2,20.0
J0043,ABS Module,Drilling,97,478,867,5,19.4
J0044,Chassis Frame,Grinding,105,242,555,2,52.5
J0045,Exhaust Manifold,Welding,89,220,490,4,22.25
J0046,Brake Component,Welding,115,373,515,1,115.0
J0047,Precision Shaft,Drilling,98,173,326,2,49.0
J0048,Battery Module,Milling,73,229,337,4,18.25
J0049,Thermal Pad,Additive,64,127,414,1,64.0
J0050,Brake Component,Assembly,115,438,834,1,115.0
J0051,Gear Box Cover,Drilling,74,428,505,1,74.0
J0052,Fuel Injector,Grinding,57,248,428,2,28.5
J0053,EV Cooling Pipe,Additive,26,194,220,4,6.5
J0054,CV Joint,Assembly,105,232,483,4,26.25
J0055,Door Hinge,Drilling,96,249,424,2,48.0
J0056,Brake Component,Assembly,12,296,402,5,2.4
J0057,ABS Module,Lathe,45,29,86,5,9.0
J0058,Turbo Housing,Grinding,114,271,465,1,114.0
J0059,EV Battery Case,Assembly,113,95,243,5,22.6
J0060,Battery Cell Tray,Drilling,115,120,441,1,115.0
J0061,EV Battery Case,Welding,79,304,403,5,15.8
J0062,EV Cooling Pipe,Drilling,89,298,654,3,29.67
J0063,EV Cooling Pipe,Welding,90,366,616,2,45.0
J0064,Suspension Arm,Additive,21,343,440,4,5.25
J0065,Battery Cell Tray,Grinding,14,4,135,5,2.8
J0066,EV Cooling Pipe,Drilling,14,275,343,5,2.8
J0067,Control Module,Milling,49,451,517,2,24.5
J0068,Drive Shaft,Additive,25,224,388,3,8.33
J0069,Door Hinge,Assembly,88,270,362,5,17.6
J0070,Chassis Frame,Grinding,18,480,532,3,6.0
J0071,Door Hinge,Lathe,100,283,462,3,33.33
J0072,EV Cooling Pipe,Lathe,31,367,485,2,15.5
J0073,EV Battery Case,Assembly,67,128,426,1,67.0
J0074,Engine Bracket,Milling,59,424,553,1,59.0
J0075,Thermal Pad,Lathe,103,66,303,2,51.5
J0076,Chassis Frame,Grinding,95,218,600,1,95.0
J0077,Brake Component,Additive,118,353,547,5,23.6
J0078,Exhaust Manifold,Drilling,52,298,491,2,26.0
J0079,Control Module,Drilling,10,157,213,1,10.0
J0080,CV Joint,Additive,92,127,271,3,30.67
J0081,Gear Box Cover,Additive,57,498,713,2,28.5
J0082,Engine Bracket,Drilling,25,499,569,4,6.25
J0083,Gear Box Cover,Milling,99,473,742,4,24.75
J0084,Brake Component,Additive,25,403,455,4,6.25
J0085,Control Module,Milling,65,113,229,4,16.25
J0086,Engine Bracket,Assembly,110,407,633,2,55.0
J0087,EV Battery Case,Additive,29,204,317,3,9.67
J0088,Fuel Injector,Assembly,40,179,383,5,8.0
J0089,Chassis Frame,Milling,112,274,555,1,112.0
J0090,Chassis Frame,Lathe,27,297,391,1,27.0
J0091,Exhaust Manifold,Lathe,60,176,422,3,20.0
J0092,Precision Shaft,Milling,70,59,227,5,14.0
J0093,Turbo Housing,Additive,10,362,427,1,10.0
J0094,Control Module,Welding,73,351,608,2,36.5
J0095,Drive Shaft,Milling,13,485,583,3,4.33
J0096,Turbo Housing,Milling,89,434,586,3,29.67
J0097,Door Hinge,Lathe,90,209,466,4,22.5
J0098,Battery Module,Lathe,21,98,226,4,5.25
J0099,Engine Bracket,Milling,77,154,334,5,15.4
J0100,Drive Shaft,Assembly,41,107,258,5,8.2
J0101,Precision Shaft,Lathe,46,238,397,4,11.5
J0102,EV Battery Case,Milling,65,406,701,2,32.5
J0103,Suspension Arm,Grinding,70,339,571,5,14.0
J0104,Gear Box Cover,Additive,109,487,716,3,36.33
J0105,Gear Box Cover,Welding,30,75,111,1,30.0
J0106,Exhaust Manifold,Assembly,83,435,555,4,20.75
J0107,Fuel Injector,Drilling,78,99,373,4,19.5
J0108,Exhaust Manifold,Drilling,23,335,359,1,23.0
J0109,Brake Component,Lathe,27,411,570,4,6.75
J0110,Sensor Housing,Additive,36,469,536,4,9.0
J0111,Drive Shaft,Milling,64,341,540,5,12.8
J0112,Turbo Housing,Welding,101,456,783,5,20.2
J0113,Battery Module,Assembly,111,464,855,4,27.75
J0114,Gear Box Cover,Additive,115,243,588,3,38.33
J0115,Gear Box Cover,Milling,86,141,493,4,21.5
J0116,Gear Box Cover,Milling,61,39,282,3,20.33
J0117,Sensor Housing,Drilling,47,163,348,1,47.0
J0118,EV Battery Case,Welding,34,196,269,2,17.0
J0119,Exhaust Manifold,Grinding,57,169,364,4,14.25
J0120,Battery Cell Tray,Assembly,31,426,564,4,7.75
J0121,Fuel Injector,Welding,7,438,557,5,1.4
J0122,Fuel Injector,Additive,5,482,532,3,1.67
J0123,CV Joint,Additive,119,488,821,5,23.8
J0124,Gear Box Cover,Milling,82,459,653,4,20.5
J0125,Suspension Arm,Assembly,60,248,315,4,15.0
J0126,Thermal Pad,Drilling,91,408,706,2,45.5
J0127,Battery Cell Tray,Lathe,84,273,370,4,21.0
J0128,Sensor Housing,Additive,89,13,144,4,22.25
J0129,Fuel Injector,Milling,64,93,169,3,21.33
J0130,Fuel Injector,Milling,32,232,347,3,10.67
J0131,EV Battery Case,Welding,101,487,803,3,33.67
J0132,Control Module,Drilling,7,383,459,1,7.0
J0133,Gear Box Cover,Drilling,88,35,143,1,88.0
J0134,Gear Box Cover,Drilling,112,10,440,2,56.0
J0135,Precision Shaft,Welding,65,342,436,5,13.0
J0136,Drive Shaft,Lathe,94,131,413,2,47.0
J0137,Door Hinge,Grinding,100,367,525,2,50.0
J0138,Fuel Injector,Welding,79,13,251,5,15.8
J0139,Gear Box Cover,Grinding,96,101,235,5,19.2
J0140,Chassis Frame,Additive,94,395,643,5,18.8
J0141,CV Joint,Welding,77,400,487,3,25.67
J0142,Suspension Arm,Grinding,89,189,313,5,17.8
