n_jobs,algorithm,total_completion_time_Sigma_Cj,runtime_ms,big_o,total_tardiness,tardy_jobs
0,FIFO,0,0,N/A,0,0
0,SPT,0,0,N/A,0,0
0,EDD,0,0,N/A,0,0
0,WSPT,0,0,N/A,0,0
10,FIFO,3764,0.0195,O(n) processing / O(n log n) incl. sort,441,7
10,SPT,3592,0.0382,O(n^2),326,5
10,EDD,3741,0.0312,O(n^2),398,8
10,WSPT,3637,0.0325,O(n^2),351,6
50,FIFO,75044,0.0536,O(n) processing / O(n log n) incl. sort,55346,49
50,SPT,57792,0.2337,O(n^2),38730,37
50,EDD,72033,0.2445,O(n^2),52335,49
50,WSPT,62302,0.5842,O(n^2),43099,41
100,FIFO,266994,0.3152,O(n) processing / O(n log n) incl. sort,229034,97
100,SPT,193016,0.9434,O(n^2),156512,77
100,EDD,254743,1.0934,O(n^2),216731,96
100,WSPT,211847,0.9125,O(n^2),174714,83
250,FIFO,1701579,0.2723,O(n) processing / O(n log n) incl. sort,1608177,248
250,SPT,1172583,4.4724,O(n^2),1081453,219
250,EDD,1616356,4.8208,O(n^2),1522911,249
250,WSPT,1292162,8.076,O(n^2),1199954,225
500,FIFO,6905433,0.5756,O(n) processing / O(n log n) incl. sort,6715298,498
500,SPT,4889231,23.4333,O(n^2),4701854,459
500,EDD,6560604,21.9644,O(n^2),6370393,499
500,WSPT,5330032,25.3423,O(n^2),5141081,476
750,FIFO,15714430,0.7964,O(n) processing / O(n log n) incl. sort,15426708,747
750,SPT,11073307,62.5817,O(n^2),10788867,704
750,EDD,14937788,59.878,O(n^2),14649952,749
750,WSPT,12058781,105.9415,O(n^2),11772313,726
1000,FIFO,27665363,6.1791,O(n) processing / O(n log n) incl. sort,27283868,997
1000,SPT,19510314,159.1958,O(n^2),19132587,944
1000,EDD,26230828,190.4902,O(n^2),25849219,999
1000,WSPT,21362013,214.5333,O(n^2),20981894,972
