seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness
1,J0100,Brake Component,Grinding,31,0,81,4,7.75,0,31,0,31,0
2,J0175,Gear Box Cover,Milling,41,1,57,4,10.25,31,72,30,71,15
3,J0647,Engine Bracket,Milling,30,9,58,4,7.5,72,102,63,93,44
4,J0053,Brake Component,Drilling,19,14,72,5,3.8,102,121,88,107,49
5,J0233,Sensor Housing,Drilling,6,20,76,1,6.0,121,127,101,107,51
6,J0274,Brake Component,Drilling,16,13,78,5,3.2,127,143,114,130,65
7,J0489,Brake Component,Grinding,20,13,79,5,4.0,143,163,130,150,84
8,J0162,Sensor Housing,Drilling,14,28,83,2,7.0,163,177,135,149,94
9,J0402,Brake Component,Grinding,25,14,84,5,5.0,177,202,163,188,118
10,J0206,Sensor Housing,Drilling,11,19,88,1,11.0,202,213,183,194,125
11,J0996,EV Battery Case,Assembly,61,12,88,5,12.2,213,274,201,262,186
12,J0611,Battery Module Cover,Milling,63,7,89,5,12.6,274,337,267,330,248
13,J0217,EV Battery Case,Assembly,68,7,94,5,13.6,337,405,330,398,311
14,J0079,Sensor Housing,Drilling,13,20,96,1,13.0,405,418,385,398,322
15,J0652,Engine Bracket,Milling,41,4,97,3,13.67,418,459,414,455,362
16,J0609,Sensor Housing,Drilling,8,37,108,1,8.0,459,467,422,430,359
17,J0943,Gear Box Cover,Drilling,28,60,115,4,7.0,467,495,407,435,380
18,J0901,EV Battery Case,Assembly,60,40,117,5,12.0,495,555,455,515,438
19,J0170,Gear Box Cover,Milling,48,12,118,3,16.0,555,603,543,591,485
20,J0276,Brake Component,Drilling,37,34,119,4,9.25,603,640,569,606,521
21,J0449,Battery Module Cover,Milling,42,62,122,5,8.4,640,682,578,620,560
22,J0407,Brake Component,Drilling,20,19,124,4,5.0,682,702,663,683,578
23,J0109,Drive Shaft,Lathe,60,15,125,5,12.0,702,762,687,747,637
24,J0375,Drive Shaft,Lathe,51,31,133,5,10.2,762,813,731,782,680
25,J0753,Drive Shaft,Grinding,59,19,133,4,14.75,813,872,794,853,739
26,J0768,Brake Component,Grinding,26,54,134,4,6.5,872,898,818,844,764
27,J0506,Battery Module Cover,Assembly,41,51,135,5,8.2,898,939,847,888,804
28,J0564,Engine Bracket,Milling,60,36,135,4,15.0,939,999,903,963,864
29,J0013,Gear Box Cover,Drilling,63,37,136,4,15.75,999,1062,962,1025,926
30,J0654,Sensor Housing,Milling,24,68,136,2,12.0,1062,1086,994,1018,950
31,J0985,Brake Component,Grinding,27,18,136,4,6.75,1086,1113,1068,1095,977
32,J0347,Gear Box Cover,Drilling,68,38,139,4,17.0,1113,1181,1075,1143,1042
33,J0024,Engine Bracket,Grinding,44,77,140,4,11.0,1181,1225,1104,1148,1085
34,J0534,Sensor Housing,Drilling,14,98,141,2,7.0,1225,1239,1127,1141,1098
35,J0890,Sensor Housing,Milling,10,73,143,1,10.0,1239,1249,1166,1176,1106
36,J0963,Engine Bracket,Milling,45,16,144,3,15.0,1249,1294,1233,1278,1150
37,J0307,Gear Box Cover,Drilling,37,55,145,3,12.33,1294,1331,1239,1276,1186
38,J0574,EV Battery Case,Milling,70,29,145,5,14.0,1331,1401,1302,1372,1256
39,J0126,Gear Box Cover,Drilling,26,81,148,4,6.5,1401,1427,1320,1346,1279
40,J0171,Gear Box Cover,Milling,80,30,148,4,20.0,1427,1507,1397,1477,1359
41,J0141,Sensor Housing,Milling,25,82,149,2,12.5,1507,1532,1425,1450,1383
42,J0371,Sensor Housing,Milling,8,66,149,1,8.0,1532,1540,1466,1474,1391
43,J0629,Brake Component,Drilling,21,3,149,4,5.25,1540,1561,1537,1558,1412
44,J0787,Sensor Housing,Drilling,18,47,149,1,18.0,1561,1579,1514,1532,1430
45,J0677,Engine Bracket,Milling,32,61,150,3,10.67,1579,1611,1518,1550,1461
46,J0932,Battery Module Cover,Assembly,43,33,150,4,10.75,1611,1654,1578,1621,1504
47,J0128,Engine Bracket,Grinding,50,61,151,3,16.67,1654,1704,1593,1643,1553
48,J0578,Gear Box Cover,Drilling,30,20,151,3,10.0,1704,1734,1684,1714,1583
49,J0898,Battery Module Cover,Milling,78,48,151,5,15.6,1734,1812,1686,1764,1661
50,J0169,Gear Box Cover,Drilling,67,28,153,3,22.33,1812,1879,1784,1851,1726
51,J0059,Engine Bracket,Grinding,38,31,154,3,12.67,1879,1917,1848,1886,1763
52,J0675,Brake Component,Drilling,16,69,154,4,4.0,1917,1933,1848,1864,1779
53,J0122,Sensor Housing,Drilling,19,39,155,1,19.0,1933,1952,1894,1913,1797
54,J0207,Sensor Housing,Milling,13,19,155,1,13.0,1952,1965,1933,1946,1810
55,J0046,Engine Bracket,Milling,39,52,156,3,13.0,1965,2004,1913,1952,1848
56,J0253,Brake Component,Grinding,50,81,156,5,10.0,2004,2054,1923,1973,1898
57,J0283,Engine Bracket,Grinding,48,24,159,3,16.0,2054,2102,2030,2078,1943
58,J0008,Battery Module Cover,Assembly,63,49,160,4,15.75,2102,2165,2053,2116,2005
