seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness
1,J0100,Brake Component,Grinding,31,0,81,4,7.75,0,31,0,31,0
2,J0427,Engine Bracket,Milling,53,0,160,3,17.67,31,84,31,84,0
3,J0692,Engine Bracket,Grinding,66,0,188,3,22.0,84,150,84,150,0
4,J0175,Gear Box Cover,Milling,41,1,57,4,10.25,150,191,149,190,134
5,J0885,Drive Shaft,Lathe,79,2,221,4,19.75,191,270,189,268,49
6,J0629,Brake Component,Drilling,21,3,149,4,5.25,270,291,267,288,142
7,J0652,Engine Bracket,Milling,41,4,97,3,13.67,291,332,287,328,235
8,J0085,Engine Bracket,Milling,54,5,169,3,18.0,332,386,327,381,217
9,J0501,Drive Shaft,Lathe,102,5,186,4,25.5,386,488,381,483,302
10,J0363,Gear Box Cover,Milling,76,6,227,3,25.33,488,564,482,558,337
11,J0217,EV Battery Case,Assembly,68,7,94,5,13.6,564,632,557,625,538
12,J0435,Engine Bracket,Grinding,35,7,179,3,11.67,632,667,625,660,488
13,J0611,Battery Module Cover,Milling,63,7,89,5,12.6,667,730,660,723,641
14,J0740,Battery Module Cover,Milling,46,7,164,4,11.5,730,776,723,769,612
15,J0647,Engine Bracket,Milling,30,9,58,4,7.5,776,806,767,797,748
16,J0037,EV Battery Case,Assembly,93,11,211,5,18.6,806,899,795,888,688
17,J0103,Gear Box Cover,Milling,60,11,191,3,20.0,899,959,888,948,768
18,J0170,Gear Box Cover,Milling,48,12,118,3,16.0,959,1007,947,995,889
19,J0996,EV Battery Case,Assembly,61,12,88,5,12.2,1007,1068,995,1056,980
20,J0274,Brake Component,Drilling,16,13,78,5,3.2,1068,1084,1055,1071,1006
21,J0442,Gear Box Cover,Drilling,57,13,178,3,19.0,1084,1141,1071,1128,963
22,J0489,Brake Component,Grinding,20,13,79,5,4.0,1141,1161,1128,1148,1082
23,J0053,Brake Component,Drilling,19,14,72,5,3.8,1161,1180,1147,1166,1108
24,J0402,Brake Component,Grinding,25,14,84,5,5.0,1180,1205,1166,1191,1121
25,J0109,Drive Shaft,Lathe,60,15,125,5,12.0,1205,1265,1190,1250,1140
26,J0940,Engine Bracket,Milling,43,15,160,3,14.33,1265,1308,1250,1293,1148
27,J0151,EV Battery Case,Assembly,68,16,221,5,13.6,1308,1376,1292,1360,1155
28,J0963,Engine Bracket,Milling,45,16,144,3,15.0,1376,1421,1360,1405,1277
29,J0164,Engine Bracket,Milling,56,17,204,3,18.67,1421,1477,1404,1460,1273
30,J0460,Drive Shaft,Lathe,55,17,191,4,13.75,1477,1532,1460,1515,1341
31,J0985,Brake Component,Grinding,27,18,136,4,6.75,1532,1559,1514,1541,1423
32,J0206,Sensor Housing,Drilling,11,19,88,1,11.0,1559,1570,1540,1551,1482
33,J0207,Sensor Housing,Milling,13,19,155,1,13.0,1570,1583,1551,1564,1428
34,J0407,Brake Component,Drilling,20,19,124,4,5.0,1583,1603,1564,1584,1479
35,J0753,Drive Shaft,Grinding,59,19,133,4,14.75,1603,1662,1584,1643,1529
36,J0785,Sensor Housing,Milling,20,19,178,1,20.0,1662,1682,1643,1663,1504
37,J0079,Sensor Housing,Drilling,13,20,96,1,13.0,1682,1695,1662,1675,1599
38,J0233,Sensor Housing,Drilling,6,20,76,1,6.0,1695,1701,1675,1681,1625
39,J0361,Drive Shaft,Lathe,77,20,195,4,19.25,1701,1778,1681,1758,1583
40,J0578,Gear Box Cover,Drilling,30,20,151,3,10.0,1778,1808,1758,1788,1657
41,J0183,Engine Bracket,Grinding,69,22,222,3,23.0,1808,1877,1786,1855,1655
42,J0712,EV Battery Case,Milling,113,22,223,5,22.6,1877,1990,1855,1968,1767
43,J0283,Engine Bracket,Grinding,48,24,159,3,16.0,1990,2038,1966,2014,1879
44,J0005,Drive Shaft,Lathe,100,25,170,4,25.0,2038,2138,2013,2113,1968
45,J0575,EV Battery Case,Milling,112,25,240,5,22.4,2138,2250,2113,2225,2010
46,J0744,EV Battery Case,Assembly,120,25,269,5,24.0,2250,2370,2225,2345,2101
47,J0266,EV Battery Case,Milling,100,26,236,5,20.0,2370,2470,2344,2444,2234
48,J0668,Gear Box Cover,Milling,72,26,164,3,24.0,2470,2542,2444,2516,2378
49,J0550,EV Battery Case,Milling,87,27,180,5,17.4,2542,2629,2515,2602,2449
50,J0893,Battery Module Cover,Assembly,85,27,230,4,21.25,2629,2714,2602,2687,2484
51,J0914,Brake Component,Drilling,31,27,166,4,7.75,2714,2745,2687,2718,2579
52,J0162,Sensor Housing,Drilling,14,28,83,2,7.0,2745,2759,2717,2731,2676
53,J0169,Gear Box Cover,Drilling,67,28,153,3,22.33,2759,2826,2731,2798,2673
54,J0064,Gear Box Cover,Milling,70,29,174,3,23.33,2826,2896,2797,2867,2722
55,J0574,EV Battery Case,Milling,70,29,145,5,14.0,2896,2966,2867,2937,2821
56,J0171,Gear Box Cover,Milling,80,30,148,4,20.0,2966,3046,2936,3016,2898
57,J0946,Battery Module Cover,Milling,42,30,179,4,10.5,3046,3088,3016,3058,2909
58,J0059,Engine Bracket,Grinding,38,31,154,3,12.67,3088,3126,3057,3095,2972
59,J0375,Drive Shaft,Lathe,51,31,133,5,10.2,3126,3177,3095,3146,3044
60,J0381,Engine Bracket,Grinding,47,31,201,3,15.67,3177,3224,3146,3193,3023
61,J0581,Battery Module Cover,Milling,56,32,213,4,14.0,3224,3280,3192,3248,3067
62,J0854,Engine Bracket,Grinding,53,32,160,3,17.67,3280,3333,3248,3301,3173
63,J0913,Gear Box Cover,Drilling,48,32,178,3,16.0,3333,3381,3301,3349,3203
64,J0932,Battery Module Cover,Assembly,43,33,150,4,10.75,3381,3424,3348,3391,3274
65,J0276,Brake Component,Drilling,37,34,119,4,9.25,3424,3461,3390,3427,3342
66,J0845,Gear Box Cover,Drilling,70,34,221,3,23.33,3461,3531,3427,3497,3310
67,J0003,Sensor Housing,Drilling,18,35,163,1,18.0,3531,3549,3496,3514,3386
68,J0762,EV Battery Case,Milling,106,35,239,5,21.2,3549,3655,3514,3620,3416
69,J0158,Gear Box Cover,Milling,41,36,191,3,13.67,3655,3696,3619,3660,3505
70,J0564,Engine Bracket,Milling,60,36,135,4,15.0,3696,3756,3660,3720,3621
71,J0013,Gear Box Cover,Drilling,63,37,136,4,15.75,3756,3819,3719,3782,3683
72,J0609,Sensor Housing,Drilling,8,37,108,1,8.0,3819,3827,3782,3790,3719
73,J0639,Battery Module Cover,Assembly,45,37,195,4,11.25,3827,3872,3790,3835,3677
74,J0974,EV Battery Case,Assembly,86,37,271,5,17.2,3872,3958,3835,3921,3687
75,J0204,Battery Module Cover,Assembly,99,38,287,4,24.75,3958,4057,3920,4019,3770
76,J0347,Gear Box Cover,Drilling,68,38,139,4,17.0,4057,4125,4019,4087,3986
77,J0416,Gear Box Cover,Milling,75,38,196,3,25.0,4125,4200,4087,4162,4004
78,J0122,Sensor Housing,Drilling,19,39,155,1,19.0,4200,4219,4161,4180,4064
79,J0830,Battery Module Cover,Milling,83,39,208,4,20.75,4219,4302,4180,4263,4094
80,J0986,Battery Module Cover,Milling,76,39,213,4,19.0,4302,4378,4263,4339,4165
81,J0172,Drive Shaft,Grinding,59,40,181,4,14.75,4378,4437,4338,4397,4256
82,J0234,Drive Shaft,Grinding,110,40,192,5,22.0,4437,4547,4397,4507,4355
83,J0901,EV Battery Case,Assembly,60,40,117,5,12.0,4547,4607,4507,4567,4490
84,J0397,Engine Bracket,Grinding,80,41,169,4,20.0,4607,4687,4566,4646,4518
85,J0869,EV Battery Case,Milling,86,42,269,5,17.2,4687,4773,4645,4731,4504
86,J0096,Gear Box Cover,Milling,38,43,169,3,12.67,4773,4811,4730,4768,4642
87,J0780,EV Battery Case,Milling,76,43,218,5,15.2,4811,4887,4768,4844,4669
88,J0818,Battery Module Cover,Milling,76,43,245,4,19.0,4887,4963,4844,4920,4718
89,J0391,Gear Box Cover,Drilling,59,44,188,3,19.67,4963,5022,4919,4978,4834
90,J0782,EV Battery Case,Milling,57,45,160,5,11.4,5022,5079,4977,5034,4919
91,J0211,Drive Shaft,Lathe,118,46,254,4,29.5,5079,5197,5033,5151,4943
92,J0673,Brake Component,Grinding,45,46,213,4,11.25,5197,5242,5151,5196,5029
93,J0599,Battery Module Cover,Milling,84,47,190,5,16.8,5242,5326,5195,5279,5136
94,J0787,Sensor Housing,Drilling,18,47,149,1,18.0,5326,5344,5279,5297,5195
95,J0289,Sensor Housing,Drilling,20,48,209,1,20.0,5344,5364,5296,5316,5155
96,J0898,Battery Module Cover,Milling,78,48,151,5,15.6,5364,5442,5316,5394,5291
