seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness
1,J0100,Brake Component,Grinding,31,0,81,4,7.75,0,31,0,31,0
2,J0233,Sensor Housing,Drilling,6,20,76,1,6.0,31,37,11,17,0
3,J0609,Sensor Housing,Drilling,8,37,108,1,8.0,37,45,0,8,0
4,J0206,Sensor Housing,Drilling,11,19,88,1,11.0,45,56,26,37,0
5,J0079,Sensor Housing,Drilling,13,20,96,1,13.0,56,69,36,49,0
6,J0371,Sensor Housing,Milling,8,66,149,1,8.0,69,77,3,11,0
7,J0923,Sensor Housing,Drilling,7,72,211,1,7.0,77,84,5,12,0
8,J0062,Sensor Housing,Milling,10,72,214,1,10.0,84,94,12,22,0
9,J0890,Sensor Housing,Milling,10,73,143,1,10.0,94,104,21,31,0
10,J0876,Sensor Housing,Drilling,6,104,218,1,6.0,104,110,0,6,0
11,J0641,Sensor Housing,Drilling,5,108,248,1,5.0,110,115,2,7,0
12,J0992,Sensor Housing,Drilling,6,101,223,1,6.0,115,121,14,20,0
13,J0815,Sensor Housing,Drilling,9,96,218,1,9.0,121,130,25,34,0
14,J0503,Sensor Housing,Milling,11,89,210,1,11.0,130,141,41,52,0
15,J0408,Sensor Housing,Milling,6,132,268,1,6.0,141,147,9,15,0
16,J0973,Sensor Housing,Drilling,7,147,216,1,7.0,147,154,0,7,0
17,J0268,Sensor Housing,Milling,10,133,290,1,10.0,154,164,21,31,0
18,J0916,Sensor Housing,Milling,11,147,199,1,11.0,164,175,17,28,0
19,J0607,Sensor Housing,Milling,12,130,270,1,12.0,175,187,45,57,0
20,J0847,Sensor Housing,Drilling,7,184,234,2,3.5,187,194,3,10,0
21,J0995,Sensor Housing,Milling,12,89,232,1,12.0,194,206,105,117,0
22,J0225,Sensor Housing,Drilling,10,196,265,1,10.0,206,216,10,20,0
23,J0324,Sensor Housing,Milling,7,214,341,1,7.0,216,223,2,9,0
24,J0858,Sensor Housing,Drilling,9,220,356,1,9.0,223,232,3,12,0
25,J0790,Sensor Housing,Drilling,10,222,353,1,10.0,232,242,10,20,0
26,J0181,Sensor Housing,Drilling,6,237,256,2,3.0,242,248,5,11,0
27,J0201,Sensor Housing,Milling,5,243,317,1,5.0,248,253,5,10,0
28,J0721,Sensor Housing,Milling,11,205,343,1,11.0,253,264,48,59,0
29,J0969,Sensor Housing,Milling,12,216,275,2,6.0,264,276,48,60,1
30,J0698,Sensor Housing,Drilling,11,270,314,2,5.5,276,287,6,17,0
31,J0892,Sensor Housing,Milling,5,284,339,1,5.0,287,292,3,8,0
32,J0723,Sensor Housing,Milling,7,292,352,1,7.0,292,299,0,7,0
33,J0342,Sensor Housing,Drilling,8,284,328,2,4.0,299,307,15,23,0
34,J0708,Sensor Housing,Drilling,6,302,363,2,3.0,307,313,5,11,0
35,J0084,Sensor Housing,Drilling,7,311,366,1,7.0,313,320,2,9,0
36,J0512,Sensor Housing,Drilling,6,317,391,1,6.0,320,326,3,9,0
37,J0543,Sensor Housing,Drilling,10,289,411,1,10.0,326,336,37,47,0
38,J0426,Sensor Housing,Drilling,9,327,378,2,4.5,336,345,9,18,0
39,J0763,Sensor Housing,Milling,10,304,358,1,10.0,345,355,41,51,0
40,J0959,Sensor Housing,Drilling,5,347,385,2,2.5,355,360,8,13,0
41,J0033,Sensor Housing,Milling,11,314,446,1,11.0,360,371,46,57,0
42,J0904,Sensor Housing,Milling,6,366,497,1,6.0,371,377,5,11,0
43,J0090,Sensor Housing,Milling,5,375,444,1,5.0,377,382,2,7,0
44,J0124,Sensor Housing,Milling,9,382,477,1,9.0,382,391,0,9,0
45,J0112,Sensor Housing,Drilling,7,383,498,1,7.0,391,398,8,15,0
46,J0415,Sensor Housing,Drilling,9,398,459,1,9.0,398,407,0,9,0
47,J0779,Sensor Housing,Milling,11,316,389,1,11.0,407,418,91,102,29
48,J0596,Sensor Housing,Drilling,7,409,566,1,7.0,418,425,9,16,0
49,J0660,Sensor Housing,Milling,7,413,511,1,7.0,425,432,12,19,0
50,J0180,Sensor Housing,Drilling,12,415,518,1,12.0,432,444,17,29,0
51,J0739,Sensor Housing,Milling,9,441,594,1,9.0,444,453,3,12,0
52,J0957,Sensor Housing,Drilling,11,435,484,2,5.5,453,464,18,29,0
53,J0929,Sensor Housing,Milling,7,463,530,2,3.5,464,471,1,8,0
54,J0002,Sensor Housing,Drilling,6,465,515,1,6.0,471,477,6,12,0
55,J0445,Sensor Housing,Milling,8,474,546,1,8.0,477,485,3,11,0
56,J0773,Sensor Housing,Milling,8,482,550,2,4.0,485,493,3,11,0
57,J0279,Sensor Housing,Milling,6,486,635,1,6.0,493,499,7,13,0
58,J0369,Sensor Housing,Drilling,11,458,479,2,5.5,499,510,41,52,31
59,J0511,Sensor Housing,Milling,12,455,604,1,12.0,510,522,55,67,0
60,J0736,Sensor Housing,Drilling,12,407,484,1,12.0,522,534,115,127,50
61,J0044,Sensor Housing,Milling,13,241,382,1,13.0,534,547,293,306,165
62,J0207,Sensor Housing,Milling,13,19,155,1,13.0,547,560,528,541,405
63,J0238,Sensor Housing,Drilling,13,81,212,1,13.0,560,573,479,492,361
64,J0318,Sensor Housing,Milling,13,278,422,1,13.0,573,586,295,308,164
65,J0398,Sensor Housing,Drilling,13,265,330,1,13.0,586,599,321,334,269
66,J0568,Sensor Housing,Drilling,13,334,404,1,13.0,599,612,265,278,208
67,J0593,Sensor Housing,Milling,13,332,388,2,6.5,612,625,280,293,237
68,J0829,Sensor Housing,Milling,13,387,524,1,13.0,625,638,238,251,114
69,J0950,Sensor Housing,Milling,13,339,400,1,13.0,638,651,299,312,251
70,J1000,Sensor Housing,Milling,13,67,213,1,13.0,651,664,584,597,451
71,J0162,Sensor Housing,Drilling,14,28,83,2,7.0,664,678,636,650,595
72,J0196,Sensor Housing,Drilling,14,143,244,1,14.0,678,692,535,549,448
73,J0288,Sensor Housing,Milling,14,390,450,1,14.0,692,706,302,316,256
74,J0410,Sensor Housing,Milling,14,301,452,1,14.0,706,720,405,419,268
75,J0534,Sensor Housing,Drilling,14,98,141,2,7.0,720,734,622,636,593
76,J0535,Sensor Housing,Milling,14,64,169,1,14.0,734,748,670,684,579
77,J0540,Sensor Housing,Milling,14,58,189,1,14.0,748,762,690,704,573
78,J0624,Sensor Housing,Drilling,14,406,561,1,14.0,762,776,356,370,215
79,J0025,Brake Component,Drilling,15,248,326,4,3.75,776,791,528,543,465
80,J0063,Sensor Housing,Milling,15,349,475,1,15.0,791,806,442,457,331
81,J0066,Sensor Housing,Drilling,15,313,445,1,15.0,806,821,493,508,376
82,J0144,Sensor Housing,Milling,15,284,324,2,7.5,821,836,537,552,512
83,J0230,Brake Component,Drilling,15,316,430,4,3.75,836,851,520,535,421
84,J0471,Sensor Housing,Milling,15,113,172,2,7.5,851,866,738,753,694
85,J0563,Sensor Housing,Milling,15,227,328,1,15.0,866,881,639,654,553
86,J0725,Sensor Housing,Milling,15,247,372,1,15.0,881,896,634,649,524
87,J0848,Sensor Housing,Milling,15,111,176,2,7.5,896,911,785,800,735
88,J0877,Sensor Housing,Drilling,15,319,433,1,15.0,911,926,592,607,493
89,J0136,Brake Component,Drilling,16,477,590,4,4.0,926,942,449,465,352
90,J0203,Brake Component,Drilling,16,97,258,4,4.0,942,958,845,861,700
91,J0213,Sensor Housing,Drilling,16,212,378,1,16.0,958,974,746,762,596
92,J0226,Brake Component,Drilling,16,452,604,4,4.0,974,990,522,538,386
93,J0274,Brake Component,Drilling,16,13,78,5,3.2,990,1006,977,993,928
94,J0332,Sensor Housing,Drilling,16,125,222,1,16.0,1006,1022,881,897,800
95,J0439,Sensor Housing,Milling,16,365,527,1,16.0,1022,1038,657,673,511
96,J0464,Brake Component,Drilling,16,304,425,4,4.0,1038,1054,734,750,629
97,J0500,Sensor Housing,Milling,16,291,428,1,16.0,1054,1070,763,779,642
98,J0520,Sensor Housing,Drilling,16,283,363,1,16.0,1070,1086,787,803,723
99,J0583,Sensor Housing,Drilling,16,290,321,2,8.0,1086,1102,796,812,781
100,J0675,Brake Component,Drilling,16,69,154,4,4.0,1102,1118,1033,1049,964
101,J0738,Brake Component,Drilling,16,92,229,4,4.0,1118,1134,1026,1042,905
102,J0928,Sensor Housing,Milling,16,343,478,1,16.0,1134,1150,791,807,672
103,J0095,Brake Component,Drilling,17,320,409,4,4.25,1150,1167,830,847,758
104,J0174,Sensor Housing,Drilling,17,429,528,1,17.0,1167,1184,738,755,656
105,J0357,Sensor Housing,Milling,17,370,478,1,17.0,1184,1201,814,831,723
106,J0367,Sensor Housing,Drilling,17,228,298,2,8.5,1201,1218,973,990,920
107,J0394,Brake Component,Drilling,17,92,186,4,4.25,1218,1235,1126,1143,1049
108,J0515,Sensor Housing,Milling,17,345,430,1,17.0,1235,1252,890,907,822
109,J0519,Sensor Housing,Drilling,17,171,236,1,17.0,1252,1269,1081,1098,1033
110,J0642,Sensor Housing,Drilling,17,312,412,1,17.0,1269,1286,957,974,874
111,J0799,Sensor Housing,Drilling,17,432,493,1,17.0,1286,1303,854,871,810
112,J0931,Sensor Housing,Milling,17,130,259,1,17.0,1303,1320,1173,1190,1061
113,J0948,Brake Component,Drilling,17,244,359,4,4.25,1320,1337,1076,1093,978
114,J0977,Sensor Housing,Drilling,17,92,181,1,17.0,1337,1354,1245,1262,1173
115,J0003,Sensor Housing,Drilling,18,35,163,1,18.0,1354,1372,1319,1337,1209
116,J0220,Brake Component,Drilling,18,196,357,4,4.5,1372,1390,1176,1194,1033
117,J0265,Brake Component,Drilling,18,171,317,4,4.5,1390,1408,1219,1237,1091
118,J0350,Sensor Housing,Milling,18,320,354,2,9.0,1408,1426,1088,1106,1072
119,J0444,Brake Component,Drilling,18,159,321,4,4.5,1426,1444,1267,1285,1123
120,J0735,Sensor Housing,Milling,18,487,586,1,18.0,1444,1462,957,975,876
121,J0787,Sensor Housing,Drilling,18,47,149,1,18.0,1462,1480,1415,1433,1331
122,J0874,Brake Component,Drilling,18,109,235,4,4.5,1480,1498,1371,1389,1263
123,J0053,Brake Component,Drilling,19,14,72,5,3.8,1498,1517,1484,1503,1445
124,J0122,Sensor Housing,Drilling,19,39,155,1,19.0,1517,1536,1478,1497,1381
125,J0160,Sensor Housing,Drilling,19,142,283,1,19.0,1536,1555,1394,1413,1272
126,J0256,Sensor Housing,Drilling,19,308,460,1,19.0,1555,1574,1247,1266,1114
127,J0475,Sensor Housing,Drilling,19,336,389,2,9.5,1574,1593,1238,1257,1204
128,J0601,Sensor Housing,Milling,19,153,190,2,9.5,1593,1612,1440,1459,1422
