seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness,weighted_completion
1,J0100,Brake Component,Grinding,31,0,81,4,7.75,0,31,0,31,0,124
2,J0274,Brake Component,Drilling,16,13,78,5,3.2,31,47,18,34,0,235
3,J0053,Brake Component,Drilling,19,14,72,5,3.8,47,66,33,52,0,330
4,J0489,Brake Component,Grinding,20,13,79,5,4.0,66,86,53,73,7,430
5,J0675,Brake Component,Drilling,16,69,154,4,4.0,86,102,17,33,0,408
6,J0203,Brake Component,Drilling,16,97,258,4,4.0,102,118,5,21,0,472
7,J0738,Brake Component,Drilling,16,92,229,4,4.0,118,134,26,42,0,536
8,J0087,Brake Component,Drilling,20,134,176,5,4.0,134,154,0,20,0,770
9,J0394,Brake Component,Drilling,17,92,186,4,4.25,154,171,62,79,0,684
10,J0365,Brake Component,Grinding,22,163,231,5,4.4,171,193,8,30,0,965
11,J0847,Sensor Housing,Drilling,7,184,234,2,3.5,193,200,9,16,0,400
12,J0220,Brake Component,Drilling,18,196,357,4,4.5,200,218,4,22,0,872
13,J0265,Brake Component,Drilling,18,171,317,4,4.5,218,236,47,65,0,944
14,J0444,Brake Component,Drilling,18,159,321,4,4.5,236,254,77,95,0,1016
15,J0181,Sensor Housing,Drilling,6,237,256,2,3.0,254,260,17,23,4,520
16,J0025,Brake Component,Drilling,15,248,326,4,3.75,260,275,12,27,0,1100
17,J0948,Brake Component,Drilling,17,244,359,4,4.25,275,292,31,48,0,1168
18,J0342,Sensor Housing,Drilling,8,284,328,2,4.0,292,300,8,16,0,600
19,J0874,Brake Component,Drilling,18,109,235,4,4.5,300,318,191,209,83,1272
20,J0708,Sensor Housing,Drilling,6,302,363,2,3.0,318,324,16,22,0,648
21,J0230,Brake Component,Drilling,15,316,430,4,3.75,324,339,8,23,0,1356
22,J0464,Brake Component,Drilling,16,304,425,4,4.0,339,355,35,51,0,1420
23,J0959,Sensor Housing,Drilling,5,347,385,2,2.5,355,360,8,13,0,720
24,J0095,Brake Component,Drilling,17,320,409,4,4.25,360,377,40,57,0,1508
25,J0426,Sensor Housing,Drilling,9,327,378,2,4.5,377,386,50,59,8,772
26,J0681,Brake Component,Drilling,23,137,172,5,4.6,386,409,249,272,237,2045
27,J0474,Brake Component,Grinding,23,395,463,5,4.6,409,432,14,37,0,2160
28,J0631,Brake Component,Drilling,19,154,245,4,4.75,432,451,278,297,206,1804
29,J0699,Brake Component,Drilling,19,420,501,4,4.75,451,470,31,50,0,1880
30,J0929,Sensor Housing,Milling,7,463,530,2,3.5,470,477,7,14,0,954
31,J0136,Brake Component,Drilling,16,477,590,4,4.0,477,493,0,16,0,1972
32,J0226,Brake Component,Drilling,16,452,604,4,4.0,493,509,41,57,0,2036
33,J0773,Sensor Housing,Milling,8,482,550,2,4.0,509,517,27,35,0,1034
34,J0443,Brake Component,Drilling,22,495,566,5,4.4,517,539,22,44,0,2695
35,J0191,Brake Component,Grinding,24,332,401,5,4.8,539,563,207,231,162,2815
36,J0209,Brake Component,Grinding,24,104,169,5,4.8,563,587,459,483,418,2935
37,J0389,Brake Component,Drilling,24,310,369,5,4.8,587,611,277,301,242,3055
38,J0090,Sensor Housing,Milling,5,375,444,1,5.0,611,616,236,241,172,616
39,J0201,Sensor Housing,Milling,5,243,317,1,5.0,616,621,373,378,304,621
40,J0402,Brake Component,Grinding,25,14,84,5,5.0,621,646,607,632,562,3230
41,J0407,Brake Component,Drilling,20,19,124,4,5.0,646,666,627,647,542,2664
42,J0641,Sensor Housing,Drilling,5,108,248,1,5.0,666,671,558,563,423,671
43,J0822,Brake Component,Drilling,20,157,238,4,5.0,671,691,514,534,453,2764
44,J0892,Sensor Housing,Milling,5,284,339,1,5.0,691,696,407,412,357,696
45,J0895,Brake Component,Drilling,20,424,591,4,5.0,696,716,272,292,125,2864
46,J0523,Brake Component,Drilling,21,138,299,4,5.25,716,737,578,599,438,2948
47,J0629,Brake Component,Drilling,21,3,149,4,5.25,737,758,734,755,609,3032
48,J0732,Brake Component,Drilling,21,274,394,4,5.25,758,779,484,505,385,3116
49,J0988,Brake Component,Grinding,21,346,427,4,5.25,779,800,433,454,373,3200
50,J0369,Sensor Housing,Drilling,11,458,479,2,5.5,800,811,342,353,332,1622
51,J0698,Sensor Housing,Drilling,11,270,314,2,5.5,811,822,541,552,508,1644
52,J0957,Sensor Housing,Drilling,11,435,484,2,5.5,822,833,387,398,349,1666
53,J0215,Brake Component,Drilling,28,461,506,5,5.6,833,861,372,400,355,4305
54,J0359,Brake Component,Grinding,23,403,535,4,5.75,861,884,458,481,349,3536
55,J0377,Brake Component,Grinding,23,161,297,4,5.75,884,907,723,746,610,3628
56,J0420,Brake Component,Drilling,23,292,397,4,5.75,907,930,615,638,533,3720
57,J0448,Brake Component,Drilling,23,63,200,4,5.75,930,953,867,890,753,3812
58,J0794,Brake Component,Grinding,23,200,313,4,5.75,953,976,753,776,663,3904
59,J0275,Brake Component,Grinding,29,358,399,5,5.8,976,1005,618,647,606,5025
60,J0752,Brake Component,Grinding,29,372,432,5,5.8,1005,1034,633,662,602,5170
61,J0002,Sensor Housing,Drilling,6,465,515,1,6.0,1034,1040,569,575,525,1040
62,J0083,Brake Component,Grinding,24,137,282,4,6.0,1040,1064,903,927,782,4256
63,J0198,Brake Component,Drilling,24,452,540,4,6.0,1064,1088,612,636,548,4352
64,J0233,Sensor Housing,Drilling,6,20,76,1,6.0,1088,1094,1068,1074,1018,1094
65,J0247,Brake Component,Drilling,24,419,522,4,6.0,1094,1118,675,699,596,4472
66,J0279,Sensor Housing,Milling,6,486,635,1,6.0,1118,1124,632,638,489,1124
67,J0408,Sensor Housing,Milling,6,132,268,1,6.0,1124,1130,992,998,862,1130
68,J0463,Brake Component,Drilling,24,57,203,4,6.0,1130,1154,1073,1097,951,4616
69,J0512,Sensor Housing,Drilling,6,317,391,1,6.0,1154,1160,837,843,769,1160
70,J0625,Brake Component,Drilling,24,493,651,4,6.0,1160,1184,667,691,533,4736
71,J0840,Brake Component,Grinding,24,473,601,4,6.0,1184,1208,711,735,607,4832
72,J0876,Sensor Housing,Drilling,6,104,218,1,6.0,1208,1214,1104,1110,996,1214
73,J0904,Sensor Housing,Milling,6,366,497,1,6.0,1214,1220,848,854,723,1220
74,J0958,Brake Component,Drilling,24,383,472,4,6.0,1220,1244,837,861,772,4976
75,J0969,Sensor Housing,Milling,12,216,275,2,6.0,1244,1256,1028,1040,981,2512
76,J0992,Sensor Housing,Drilling,6,101,223,1,6.0,1256,1262,1155,1161,1039,1262
77,J0997,Brake Component,Drilling,30,171,233,5,6.0,1262,1292,1091,1121,1059,6460
78,J0118,Engine Bracket,Milling,25,246,298,4,6.25,1292,1317,1046,1071,1019,5268
79,J0126,Gear Box Cover,Drilling,26,81,148,4,6.5,1317,1343,1236,1262,1195,5372
80,J0447,Brake Component,Grinding,26,179,336,4,6.5,1343,1369,1164,1190,1033,5476
81,J0593,Sensor Housing,Milling,13,332,388,2,6.5,1369,1382,1037,1050,994,2764
82,J0657,Brake Component,Drilling,26,398,520,4,6.5,1382,1408,984,1010,888,5632
83,J0768,Brake Component,Grinding,26,54,134,4,6.5,1408,1434,1354,1380,1300,5736
84,J0071,Brake Component,Grinding,27,459,617,4,6.75,1434,1461,975,1002,844,5844
85,J0073,Brake Component,Drilling,27,453,605,4,6.75,1461,1488,1008,1035,883,5952
86,J0094,Brake Component,Drilling,27,177,351,4,6.75,1488,1515,1311,1338,1164,6060
87,J0125,Brake Component,Grinding,27,360,490,4,6.75,1515,1542,1155,1182,1052,6168
88,J0241,Brake Component,Drilling,27,82,184,4,6.75,1542,1569,1460,1487,1385,6276
89,J0322,Brake Component,Drilling,27,263,345,4,6.75,1569,1596,1306,1333,1251,6384
90,J0425,Brake Component,Drilling,27,148,235,4,6.75,1596,1623,1448,1475,1388,6492
91,J0637,Brake Component,Drilling,27,229,373,4,6.75,1623,1650,1394,1421,1277,6600
92,J0985,Brake Component,Grinding,27,18,136,4,6.75,1650,1677,1632,1659,1541,6708
93,J0084,Sensor Housing,Drilling,7,311,366,1,7.0,1677,1684,1366,1373,1318,1684
94,J0112,Sensor Housing,Drilling,7,383,498,1,7.0,1684,1691,1301,1308,1193,1691
95,J0162,Sensor Housing,Drilling,14,28,83,2,7.0,1691,1705,1663,1677,1622,3410
96,J0324,Sensor Housing,Milling,7,214,341,1,7.0,1705,1712,1491,1498,1371,1712
97,J0477,Brake Component,Drilling,28,172,257,4,7.0,1712,1740,1540,1568,1483,6960
98,J0527,Brake Component,Grinding,28,482,583,4,7.0,1740,1768,1258,1286,1185,7072
99,J0534,Sensor Housing,Drilling,14,98,141,2,7.0,1768,1782,1670,1684,1641,3564
100,J0596,Sensor Housing,Drilling,7,409,566,1,7.0,1782,1789,1373,1380,1223,1789
101,J0660,Sensor Housing,Milling,7,413,511,1,7.0,1789,1796,1376,1383,1285,1796
102,J0670,Brake Component,Grinding,28,479,550,4,7.0,1796,1824,1317,1345,1274,7296
103,J0682,Brake Component,Drilling,28,404,518,4,7.0,1824,1852,1420,1448,1334,7408
104,J0711,Brake Component,Drilling,28,490,637,4,7.0,1852,1880,1362,1390,1243,7520
105,J0723,Sensor Housing,Milling,7,292,352,1,7.0,1880,1887,1588,1595,1535,1887
106,J0923,Sensor Housing,Drilling,7,72,211,1,7.0,1887,1894,1815,1822,1683,1894
107,J0943,Gear Box Cover,Drilling,28,60,115,4,7.0,1894,1922,1834,1862,1807,7688
108,J0973,Sensor Housing,Drilling,7,147,216,1,7.0,1922,1929,1775,1782,1713,1929
109,J0014,Brake Component,Grinding,29,477,551,4,7.25,1929,1958,1452,1481,1407,7832
110,J0016,Gear Box Cover,Drilling,29,430,486,4,7.25,1958,1987,1528,1557,1501,7948
111,J0419,Brake Component,Grinding,29,136,236,4,7.25,1987,2016,1851,1880,1780,8064
112,J0922,Engine Bracket,Milling,29,373,412,4,7.25,2016,2045,1643,1672,1633,8180
113,J0082,Gear Box Cover,Drilling,30,142,226,4,7.5,2045,2075,1903,1933,1849,8300
114,J0144,Sensor Housing,Milling,15,284,324,2,7.5,2075,2090,1791,1806,1766,4180
115,J0315,Brake Component,Grinding,30,128,259,4,7.5,2090,2120,1962,1992,1861,8480
116,J0343,Brake Component,Drilling,30,252,383,4,7.5,2120,2150,1868,1898,1767,8600
117,J0471,Sensor Housing,Milling,15,113,172,2,7.5,2150,2165,2037,2052,1993,4330
118,J0647,Engine Bracket,Milling,30,9,58,4,7.5,2165,2195,2156,2186,2137,8780
119,J0848,Sensor Housing,Milling,15,111,176,2,7.5,2195,2210,2084,2099,2034,4420
120,J0999,Engine Bracket,Milling,30,135,180,4,7.5,2210,2240,2075,2105,2060,8960
121,J0579,Brake Component,Drilling,38,190,277,5,7.6,2240,2278,2050,2088,2001,11390
122,J0154,Brake Component,Drilling,31,497,673,4,7.75,2278,2309,1781,1812,1636,9236
123,J0429,Brake Component,Grinding,31,70,207,4,7.75,2309,2340,2239,2270,2133,9360
124,J0679,Brake Component,Drilling,31,181,261,4,7.75,2340,2371,2159,2190,2110,9484
125,J0914,Brake Component,Drilling,31,27,166,4,7.75,2371,2402,2344,2375,2236,9608
126,J0968,Brake Component,Drilling,31,69,236,4,7.75,2402,2433,2333,2364,2197,9732
127,J0210,Battery Module Cover,Milling,39,208,282,5,7.8,2433,2472,2225,2264,2190,12360
128,J0260,Brake Component,Grinding,32,265,401,4,8.0,2472,2504,2207,2239,2103,10016
129,J0371,Sensor Housing,Milling,8,66,149,1,8.0,2504,2512,2438,2446,2363,2512
130,J0445,Sensor Housing,Milling,8,474,546,1,8.0,2512,2520,2038,2046,1974,2520
131,J0583,Sensor Housing,Drilling,16,290,321,2,8.0,2520,2536,2230,2246,2215,5072
132,J0609,Sensor Housing,Drilling,8,37,108,1,8.0,2536,2544,2499,2507,2436,2544
133,J0759,Battery Module Cover,Assembly,40,176,235,5,8.0,2544,2584,2368,2408,2349,12920
134,J0806,Battery Module Cover,Assembly,40,436,501,5,8.0,2584,2624,2148,2188,2123,13120
135,J0246,Brake Component,Grinding,41,391,456,5,8.2,2624,2665,2233,2274,2209,13325
136,J0506,Battery Module Cover,Assembly,41,51,135,5,8.2,2665,2706,2614,2655,2571,13530
137,J0104,Brake Component,Drilling,33,490,659,4,8.25,2706,2739,2216,2249,2080,10956
138,J0472,Gear Box Cover,Drilling,25,473,648,3,8.33,2739,2764,2266,2291,2116,8292
139,J0640,Engine Bracket,Milling,25,96,243,3,8.33,2764,2789,2668,2693,2546,8367
140,J0449,Battery Module Cover,Milling,42,62,122,5,8.4,2789,2831,2727,2769,2709,14155
141,J0554,Brake Component,Grinding,42,210,302,5,8.4,2831,2873,2621,2663,2571,14365
142,J0694,Brake Component,Grinding,42,364,449,5,8.4,2873,2915,2509,2551,2466,14575
143,J0250,Brake Component,Grinding,34,313,389,4,8.5,2915,2949,2602,2636,2560,11796
144,J0297,Brake Component,Grinding,34,483,625,4,8.5,2949,2983,2466,2500,2358,11932
145,J0367,Sensor Housing,Drilling,17,228,298,2,8.5,2983,3000,2755,2772,2702,6000
146,J0751,Brake Component,Grinding,34,335,420,4,8.5,3000,3034,2665,2699,2614,12136
147,J0889,Engine Bracket,Milling,34,239,331,4,8.5,3034,3068,2795,2829,2737,12272
148,J0173,Brake Component,Drilling,35,479,613,4,8.75,3068,3103,2589,2624,2490,12412
149,J0678,Battery Module Cover,Milling,35,91,235,4,8.75,3103,3138,3012,3047,2903,12552
150,J0800,Engine Bracket,Grinding,35,138,211,4,8.75,3138,3173,3000,3035,2962,12692
151,J0327,Brake Component,Drilling,44,397,491,5,8.8,3173,3217,2776,2820,2726,16085
152,J0610,Brake Component,Grinding,44,428,498,5,8.8,3217,3261,2789,2833,2763,16305
153,J0746,Brake Component,Drilling,44,356,420,5,8.8,3261,3305,2905,2949,2885,16525
154,J0106,Engine Bracket,Milling,27,422,554,3,9.0,3305,3332,2883,2910,2778,9996
155,J0124,Sensor Housing,Milling,9,382,477,1,9.0,3332,3341,2950,2959,2864,3341
156,J0159,Brake Component,Grinding,36,114,190,4,9.0,3341,3377,3227,3263,3187,13508
157,J0205,Brake Component,Grinding,36,396,472,4,9.0,3377,3413,2981,3017,2941,13652
158,J0235,Gear Box Cover,Milling,36,438,523,4,9.0,3413,3449,2975,3011,2926,13796
159,J0248,Drive Shaft,Grinding,45,382,446,5,9.0,3449,3494,3067,3112,3048,17470
160,J0296,Brake Component,Grinding,36,219,359,4,9.0,3494,3530,3275,3311,3171,14120
161,J0350,Sensor Housing,Milling,18,320,354,2,9.0,3530,3548,3210,3228,3194,7096
162,J0415,Sensor Housing,Drilling,9,398,459,1,9.0,3548,3557,3150,3159,3098,3557
163,J0509,Engine Bracket,Milling,27,136,312,3,9.0,3557,3584,3421,3448,3272,10752
164,J0589,Brake Component,Drilling,36,378,464,4,9.0,3584,3620,3206,3242,3156,14480
165,J0612,Gear Box Cover,Drilling,27,409,485,3,9.0,3620,3647,3211,3238,3162,10941
166,J0662,Gear Box Cover,Milling,36,128,219,4,9.0,3647,3683,3519,3555,3464,14732
167,J0696,Brake Component,Grinding,36,465,650,4,9.0,3683,3719,3218,3254,3069,14876
168,J0739,Sensor Housing,Milling,9,441,594,1,9.0,3719,3728,3278,3287,3134,3728
169,J0815,Sensor Housing,Drilling,9,96,218,1,9.0,3728,3737,3632,3641,3519,3737
170,J0858,Sensor Housing,Drilling,9,220,356,1,9.0,3737,3746,3517,3526,3390,3746
171,J0382,Drive Shaft,Grinding,46,425,500,5,9.2,3746,3792,3321,3367,3292,18960
172,J0867,Brake Component,Grinding,46,460,561,5,9.2,3792,3838,3332,3378,3277,19190
173,J0276,Brake Component,Drilling,37,34,119,4,9.25,3838,3875,3804,3841,3756,15500
174,J0437,Battery Module Cover,Milling,37,83,233,4,9.25,3875,3912,3792,3829,3679,15648
