seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness
1,J1,Sensor Housing,Milling,18,0,110,2,9.0,0,18,0,18,0
2,J2,Brake Component,Drilling,42,0,90,5,8.4,18,60,18,60,0
3,J5,Drive Shaft,Lathe,35,0,120,2,17.5,60,95,60,95,0
4,J9,Cooling Fan Hub,Drilling,12,3,70,3,4.0,95,107,92,104,37
5,J3,Engine Bracket,Grinding,25,5,160,3,8.33,107,132,102,127,0
6,J7,Gear Plate,Milling,22,8,100,1,22.0,132,154,124,146,54
7,J4,Battery Module Cover,Assembly,60,10,150,4,15.0,154,214,144,204,64
8,J10,Precision Shaft,Lathe,48,12,140,5,9.6,214,262,202,250,122
9,J6,EV Battery Case,Additive Manufacturing,85,15,260,5,17.0,262,347,247,332,87
10,J8,Control Box,Assembly,55,20,180,4,13.75,347,402,327,382,222
