seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness,weighted_completion
1,J2,Brake Component,Drilling,42,0,90,5,8.4,0,42,0,42,0,210
2,J9,Cooling Fan Hub,Drilling,12,3,70,3,4.0,42,54,39,51,0,162
3,J3,Engine Bracket,Grinding,25,5,160,3,8.33,54,79,49,74,0,237
4,J1,Sensor Housing,Milling,18,0,110,2,9.0,79,97,79,97,0,194
5,J10,Precision Shaft,Lathe,48,12,140,5,9.6,97,145,85,133,5,725
6,J8,Control Box,Assembly,55,20,180,4,13.75,145,200,125,180,20,800
7,J4,Battery Module Cover,Assembly,60,10,150,4,15.0,200,260,190,250,110,1040
8,J6,EV Battery Case,Additive Manufacturing,85,15,260,5,17.0,260,345,245,330,85,1725
9,J5,Drive Shaft,Lathe,35,0,120,2,17.5,345,380,345,380,260,760
10,J7,Gear Plate,Milling,22,8,100,1,22.0,380,402,372,394,302,402
